Line#,Date,"Thermocouple - Std Dev (RAW-C-20 20107267:20088126-2S), C, Arizona VT SE KMP08 AZ VT1 Tcell","Thermocouple - Avg (RAW-C-20 20107267:20088126-2A), C, Arizona VT SE KMP08 AZ VT1 Tcell","Thermocouple - Max (RAW-C-20 20107267:20088126-2x), C, Arizona VT SE KMP08 AZ VT1 Tcell","Thermocouple - Min (RAW-C-20 20107267:20088126-2m), C, Arizona VT SE KMP08 AZ VT1 Tcell","Thermocouple (RAW-C-20 20107267:20088126-2), C, Arizona VT SE KMP08 AZ VT1 Tcell","Voltage - Std Dev (RAW-V-5 20107267:20088126-1S), V, Arizona VT SE KMP08 AZ VT1 Voc","Voltage - Avg (RAW-V-5 20107267:20088126-1A), V, Arizona VT SE KMP08 AZ VT1 Voc","Voltage - Max (RAW-V-5 20107267:20088126-1x), V, Arizona VT SE KMP08 AZ VT1 Voc","Voltage - Min (RAW-V-5 20107267:20088126-1m), V, Arizona VT SE KMP08 AZ VT1 Voc","Voltage (RAW-V-5 20107267:20088126-1), V, Arizona VT SE KMP08 AZ VT1 Voc","Battery (RX3000 BATTERY 20107267:20107267-B), V, Arizona VT SE KMP08","Thermocouple - Std Dev (RAW-C-20 20107267:20088126-2S), C, Arizona VT SE KMP8 AZ VT1 Tcell","Thermocouple - Avg (RAW-C-20 20107267:20088126-2A), C, Arizona VT SE KMP8 AZ VT1 Tcell","Thermocouple - Max (RAW-C-20 20107267:20088126-2x), C, Arizona VT SE KMP8 AZ VT1 Tcell","Thermocouple - Min (RAW-C-20 20107267:20088126-2m), C, Arizona VT SE KMP8 AZ VT1 Tcell","Thermocouple (RAW-C-20 20107267:20088126-2), C, Arizona VT SE KMP8 AZ VT1 Tcell","Voltage - Std Dev (RAW-V-5 20107267:20088126-1S), V, Arizona VT SE KMP8 AZ VT1 Voc","Voltage - Avg (RAW-V-5 20107267:20088126-1A), V, Arizona VT SE KMP8 AZ VT1 Voc","Voltage - Max (RAW-V-5 20107267:20088126-1x), V, Arizona VT SE KMP8 AZ VT1 Voc","Voltage - Min (RAW-V-5 20107267:20088126-1m), V, Arizona VT SE KMP8 AZ VT1 Voc","Voltage (RAW-V-5 20107267:20088126-1), V, Arizona VT SE KMP8 AZ VT1 Voc","Battery (RX3000 BATTERY 20107267:20107267-B), V, Arizona VT SE KMP8","Thermocouple - Std Dev (RAW-C-20 20107267:20088126-2S), C, Arizona VT 1 AZ VT1 Tcell","Thermocouple - Avg (RAW-C-20 20107267:20088126-2A), C, Arizona VT 1 AZ VT1 Tcell","Thermocouple - Max (RAW-C-20 20107267:20088126-2x), C, Arizona VT 1 AZ VT1 Tcell","Thermocouple - Min (RAW-C-20 20107267:20088126-2m), C, Arizona VT 1 AZ VT1 Tcell","Thermocouple (RAW-C-20 20107267:20088126-2), C, Arizona VT 1 AZ VT1 Tcell","Voltage - Std Dev (RAW-V-5 20107267:20088126-1S), V, Arizona VT 1 AZ VT1 Voc","Voltage - Avg (RAW-V-5 20107267:20088126-1A), V, Arizona VT 1 AZ VT1 Voc","Voltage - Max (RAW-V-5 20107267:20088126-1x), V, Arizona VT 1 AZ VT1 Voc","Voltage - Min (RAW-V-5 20107267:20088126-1m), V, Arizona VT 1 AZ VT1 Voc","Voltage (RAW-V-5 20107267:20088126-1), V, Arizona VT 1 AZ VT1 Voc","Battery (RX3000 BATTERY 20107267:20107267-B), V, Arizona VT 1","Battery (RX3000 BATTERY 20107267:20107267-B), V, Arizona VT Center"
1,08/21/17 15:46:00,,,,,53.514,,,,,0.5581,,,,,,,,,,,,,,,,,,,,,,,,
2,08/21/17 15:47:00,,,,,54.882,,,,,0.5568,,,,,,,,,,,,,,,,,,,,,,,,
3,08/21/17 15:48:00,,,,,53.807,,,,,0.5557,,,,,,,,,,,,,,,,,,,,,,,,
4,08/21/17 15:49:00,,,,,53.710,,,,,0.5574,,,,,,,,,,,,,,,,,,,,,,,,
5,08/21/17 15:50:00,,,,,53.216,,,,,0.5579,4.414,,,,,,,,,,,,,,,,,,,,,,,
6,08/21/17 15:51:00,,,,,54.046,,,,,0.5449,,,,,,,,,,,,,,,,,,,,,,,,
7,08/21/17 15:52:00,,,,,53.102,,,,,0.5034,,,,,,,,,,,,,,,,,,,,,,,,
8,08/21/17 15:53:00,,,,,52.755,,,,,0.5145,,,,,,,,,,,,,,,,,,,,,,,,
9,08/21/17 15:54:00,,,,,53.254,,,,,0.5122,,,,,,,,,,,,,,,,,,,,,,,,
10,08/21/17 15:55:00,,,,,53.314,,,,,0.4408,4.453,,,,,,,,,,,,,,,,,,,,,,,
11,08/21/17 15:56:00,,,,,52.950,,,,,0.4154,,,,,,,,,,,,,,,,,,,,,,,,
12,08/21/17 15:57:00,,,,,51.561,,,,,0.3354,,,,,,,,,,,,,,,,,,,,,,,,
13,08/21/17 15:58:00,,,,,52.228,,,,,0.3320,,,,,,,,,,,,,,,,,,,,,,,,
14,08/21/17 15:59:00,,,,,50.894,,,,,0.3288,,,,,,,,,,,,,,,,,,,,,,,,
15,08/21/17 16:00:00,,,,,50.259,,,,,0.3404,4.463,,,,,,,,,,,,,,,,,,,,,,,
16,08/21/17 16:01:00,,,,,51.680,,,,,0.3229,,,,,,,,,,,,,,,,,,,,,,,,
17,08/21/17 16:02:00,,,,,51.415,,,,,0.3581,,,,,,,,,,,,,,,,,,,,,,,,
18,08/21/17 16:03:00,,,,,50.107,,,,,0.4176,,,,,,,,,,,,,,,,,,,,,,,,
19,08/21/17 16:04:00,,,,,50.292,,,,,0.4718,,,,,,,,,,,,,,,,,,,,,,,,
20,08/21/17 16:05:00,,,,,49.234,,,,,0.5624,4.429,,,,,,,,,,,,,,,,,,,,,,,
21,08/21/17 16:06:00,,,,,48.935,,,,,0.5634,,,,,,,,,,,,,,,,,,,,,,,,
22,08/21/17 16:07:00,,,,,48.360,,,,,0.5645,,,,,,,,,,,,,,,,,,,,,,,,
23,08/21/17 16:08:00,,,,,48.246,,,,,0.5648,,,,,,,,,,,,,,,,,,,,,,,,
24,08/21/17 16:09:00,,,,,48.056,,,,,0.5648,,,,,,,,,,,,,,,,,,,,,,,,
25,08/21/17 16:10:00,,,,,48.490,,,,,0.5645,4.418,,,,,,,,,,,,,,,,,,,,,,,
26,08/21/17 16:11:00,,,,,49.185,,,,,0.5637,,,,,,,,,,,,,,,,,,,,,,,,
27,08/21/17 16:12:00,,,,,49.662,,,,,0.5623,,,,,,,,,,,,,,,,,,,,,,,,
28,08/21/17 16:13:00,,,,,51.019,,,,,0.5604,,,,,,,,,,,,,,,,,,,,,,,,
29,08/21/17 16:14:00,,,,,49.581,,,,,0.4035,,,,,,,,,,,,,,,,,,,,,,,,
30,08/21/17 16:15:00,,,,,49.451,,,,,0.4171,4.409,,,,,,,,,,,,,,,,,,,,,,,
31,08/21/17 16:16:00,,,,,49.006,,,,,0.4077,,,,,,,,,,,,,,,,,,,,,,,,
32,08/21/17 16:17:00,,,,,48.219,,,,,0.3990,,,,,,,,,,,,,,,,,,,,,,,,
33,08/21/17 16:18:00,,,,,47.904,,,,,0.4129,,,,,,,,,,,,,,,,,,,,,,,,
34,08/21/17 16:19:00,,,,,47.638,,,,,0.5283,,,,,,,,,,,,,,,,,,,,,,,,
35,08/21/17 16:20:00,,,,,47.638,,,,,0.5642,4.405,,,,,,,,,,,,,,,,,,,,,,,
36,08/21/17 16:21:00,,,,,49.467,,,,,0.5621,,,,,,,,,,,,,,,,,,,,,,,,
37,08/21/17 16:22:00,,,,,49.331,,,,,0.5612,,,,,,,,,,,,,,,,,,,,,,,,
38,08/21/17 16:23:00,,,,,48.224,,,,,0.5615,,,,,,,,,,,,,,,,,,,,,,,,
39,08/21/17 16:24:00,,,,,48.186,,,,,0.5620,,,,,,,,,,,,,,,,,,,,,,,,
40,08/21/17 16:25:00,,,,,47.557,,,,,0.5632,4.403,,,,,,,,,,,,,,,,,,,,,,,
41,08/21/17 16:26:00,,,,,47.644,,,,,0.5629,,,,,,,,,,,,,,,,,,,,,,,,
42,08/21/17 16:27:00,,,,,48.810,,,,,0.5617,,,,,,,,,,,,,,,,,,,,,,,,
43,08/21/17 16:28:00,,,,,47.942,,,,,0.5617,,,,,,,,,,,,,,,,,,,,,,,,
44,08/21/17 16:29:00,,,,,47.649,,,,,0.5620,,,,,,,,,,,,,,,,,,,,,,,,
45,08/21/17 16:30:00,,,,,49.423,,,,,0.5599,4.402,,,,,,,,,,,,,,,,,,,,,,,
46,08/21/17 16:31:00,,,,,49.782,,,,,0.5582,,,,,,,,,,,,,,,,,,,,,,,,
47,08/21/17 16:32:00,,,,,49.033,,,,,0.5585,,,,,,,,,,,,,,,,,,,,,,,,
48,08/21/17 16:33:00,,,,,47.888,,,,,0.5593,,,,,,,,,,,,,,,,,,,,,,,,
49,08/21/17 16:34:00,,,,,47.731,,,,,0.5609,,,,,,,,,,,,,,,,,,,,,,,,
50,08/21/17 16:35:00,,,,,48.176,,,,,0.5612,4.400,,,,,,,,,,,,,,,,,,,,,,,
51,08/21/17 16:36:00,,,,,47.058,,,,,0.5618,,,,,,,,,,,,,,,,,,,,,,,,
52,08/21/17 16:37:00,,,,,47.416,,,,,0.5612,,,,,,,,,,,,,,,,,,,,,,,,
53,08/21/17 16:38:00,,,,,47.085,,,,,0.5618,,,,,,,,,,,,,,,,,,,,,,,,
54,08/21/17 16:39:00,,,,,47.899,,,,,0.5606,,,,,,,,,,,,,,,,,,,,,,,,
55,08/21/17 16:40:00,,,,,47.856,,,,,0.5596,4.406,,,,,,,,,,,,,,,,,,,,,,,
56,08/21/17 16:41:00,,,,,47.655,,,,,0.5596,,,,,,,,,,,,,,,,,,,,,,,,
57,08/21/17 16:42:00,,,,,46.917,,,,,0.5606,,,,,,,,,,,,,,,,,,,,,,,,
58,08/21/17 16:43:00,,,,,46.770,,,,,0.5609,,,,,,,,,,,,,,,,,,,,,,,,
59,08/21/17 16:44:00,,,,,46.092,,,,,0.5613,,,,,,,,,,,,,,,,,,,,,,,,
60,08/21/17 16:45:00,,,,,46.049,,,,,0.5620,4.444,,,,,,,,,,,,,,,,,,,,,,,
61,08/21/17 16:46:00,,,,,46.467,,,,,0.5613,,,,,,,,,,,,,,,,,,,,,,,,
62,08/21/17 16:47:00,,,,,46.005,,,,,0.5612,,,,,,,,,,,,,,,,,,,,,,,,
63,08/21/17 16:48:00,,,,,46.353,,,,,0.5606,,,,,,,,,,,,,,,,,,,,,,,,
64,08/21/17 16:49:00,,,,,46.488,,,,,0.5599,,,,,,,,,,,,,,,,,,,,,,,,
65,08/21/17 16:50:00,,,,,46.168,,,,,0.5598,4.468,,,,,,,,,,,,,,,,,,,,,,,
66,08/21/17 16:51:00,,,,,46.559,,,,,0.5593,,,,,,,,,,,,,,,,,,,,,,,,
67,08/21/17 16:52:00,,,,,45.946,,,,,0.5593,,,,,,,,,,,,,,,,,,,,,,,,
68,08/21/17 16:53:00,,,,,46.336,,,,,0.5590,,,,,,,,,,,,,,,,,,,,,,,,
69,08/21/17 16:54:00,,,,,46.195,,,,,0.5593,,,,,,,,,,,,,,,,,,,,,,,,
70,08/21/17 16:55:00,,,,,45.626,,,,,0.5596,4.442,,,,,,,,,,,,,,,,,,,,,,,
71,08/21/17 16:56:00,,,,,46.043,,,,,0.5593,,,,,,,,,,,,,,,,,,,,,,,,
72,08/21/17 16:57:00,,,,,45.463,,,,,0.5588,,,,,,,,,,,,,,,,,,,,,,,,
73,08/21/17 16:58:00,,,,,45.962,,,,,0.5582,,,,,,,,,,,,,,,,,,,,,,,,
74,08/21/17 16:59:00,,,,,45.620,,,,,0.5577,,,,,,,,,,,,,,,,,,,,,,,,
75,08/21/17 17:00:00,,,,,44.888,,,,,0.5570,4.420,,,,,,,,,,,,,,,,,,,,,,,
76,08/21/17 17:01:00,,,,,45.642,,,,,0.5570,,,,,,,,,,,,,,,,,,,,,,,,
77,08/21/17 17:02:00,,,,,45.609,,,,,0.5566,,,,,,,,,,,,,,,,,,,,,,,,
78,08/21/17 17:03:00,,,,,45.403,,,,,0.5568,,,,,,,,,,,,,,,,,,,,,,,,
79,08/21/17 17:04:00,,,,,45.474,,,,,0.5568,,,,,,,,,,,,,,,,,,,,,,,,
80,08/21/17 17:05:00,,,,,45.056,,,,,0.5571,4.412,,,,,,,,,,,,,,,,,,,,,,,
81,08/21/17 17:06:00,,,,,45.007,,,,,0.5570,,,,,,,,,,,,,,,,,,,,,,,,
82,08/21/17 17:07:00,,,,,45.056,,,,,0.5568,,,,,,,,,,,,,,,,,,,,,,,,
83,08/21/17 17:08:00,,,,,44.492,,,,,0.5573,,,,,,,,,,,,,,,,,,,,,,,,
84,08/21/17 17:09:00,,,,,44.817,,,,,0.5565,,,,,,,,,,,,,,,,,,,,,,,,
85,08/21/17 17:10:00,,,,,44.134,,,,,0.5559,4.406,,,,,,,,,,,,,,,,,,,,,,,
86,08/21/17 17:11:00,,,,,45.202,,,,,0.5551,,,,,,,,,,,,,,,,,,,,,,,,
87,08/21/17 17:12:00,,,,,44.828,,,,,0.5552,,,,,,,,,,,,,,,,,,,,,,,,
88,08/21/17 17:13:00,,,,,45.360,,,,,0.5545,,,,,,,,,,,,,,,,,,,,,,,,
89,08/21/17 17:14:00,,,,,44.595,,,,,0.5543,,,,,,,,,,,,,,,,,,,,,,,,
90,08/21/17 17:15:00,,,,,44.269,,,,,0.5545,4.403,,,,,,,,,,,,,,,,,,,,,,,
91,08/21/17 17:16:00,,,,,44.481,,,,,0.5540,,,,,,,,,,,,,,,,,,,,,,,,
92,08/21/17 17:17:00,,,,,42.907,,,,,0.5538,,,,,,,,,,,,,,,,,,,,,,,,
93,08/21/17 17:18:00,,,,,44.291,,,,,0.5535,,,,,,,,,,,,,,,,,,,,,,,,
94,08/21/17 17:19:00,,,,,44.470,,,,,0.5530,,,,,,,,,,,,,,,,,,,,,,,,
95,08/21/17 17:20:00,,,,,44.313,,,,,0.5524,4.402,,,,,,,,,,,,,,,,,,,,,,,
96,08/21/17 17:21:00,,,,,44.437,,,,,0.5519,,,,,,,,,,,,,,,,,,,,,,,,
97,08/21/17 17:22:00,,,,,43.884,,,,,0.5523,,,,,,,,,,,,,,,,,,,,,,,,
98,08/21/17 17:23:00,,,,,43.754,,,,,0.5523,,,,,,,,,,,,,,,,,,,,,,,,
99,08/21/17 17:24:00,,,,,43.879,,,,,0.5515,,,,,,,,,,,,,,,,,,,,,,,,
100,08/21/17 17:25:00,,,,,44.421,,,,,0.5507,4.400,,,,,,,,,,,,,,,,,,,,,,,
101,08/21/17 17:26:00,,,,,44.600,,,,,0.5496,,,,,,,,,,,,,,,,,,,,,,,,
102,08/21/17 17:27:00,,,,,44.454,,,,,0.5487,,,,,,,,,,,,,,,,,,,,,,,,
103,08/21/17 17:28:00,,,,,44.579,,,,,0.5479,,,,,,,,,,,,,,,,,,,,,,,,
104,08/21/17 17:29:00,,,,,44.405,,,,,0.5477,,,,,,,,,,,,,,,,,,,,,,,,
105,08/21/17 17:30:00,,,,,44.394,,,,,0.5473,4.415,,,,,,,,,,,,,,,,,,,,,,,
106,08/21/17 17:31:00,,,,,43.434,,,,,0.5466,,,,,,,,,,,,,,,,,,,,,,,,
107,08/21/17 17:32:00,,,,,44.725,,,,,0.5458,,,,,,,,,,,,,,,,,,,,,,,,
108,08/21/17 17:33:00,,,,,44.394,,,,,0.5452,,,,,,,,,,,,,,,,,,,,,,,,
109,08/21/17 17:34:00,,,,,44.394,,,,,0.5447,,,,,,,,,,,,,,,,,,,,,,,,
110,08/21/17 17:35:00,,,,,44.193,,,,,0.5446,4.457,,,,,,,,,,,,,,,,,,,,,,,
111,08/21/17 17:36:00,,,,,44.144,,,,,0.5444,,,,,,,,,,,,,,,,,,,,,,,,
112,08/21/17 17:37:00,,,,,44.340,,,,,0.5438,,,,,,,,,,,,,,,,,,,,,,,,
113,08/21/17 17:38:00,,,,,43.944,,,,,0.5433,,,,,,,,,,,,,,,,,,,,,,,,
114,08/21/17 17:39:00,,,,,43.841,,,,,0.5429,,,,,,,,,,,,,,,,,,,,,,,,
115,08/21/17 17:40:00,,,,,43.895,,,,,0.5427,4.465,,,,,,,,,,,,,,,,,,,,,,,
116,08/21/17 17:41:00,,,,,43.369,,,,,0.5424,,,,,,,,,,,,,,,,,,,,,,,,
117,08/21/17 17:42:00,,,,,43.493,,,,,0.5419,,,,,,,,,,,,,,,,,,,,,,,,
118,08/21/17 17:43:00,,,,,43.211,,,,,0.5313,,,,,,,,,,,,,,,,,,,,,,,,
119,08/21/17 17:44:00,,,,,43.157,,,,,0.5408,,,,,,,,,,,,,,,,,,,,,,,,
120,08/21/17 17:45:00,,,,,42.408,,,,,0.5411,4.430,,,,,,,,,,,,,,,,,,,,,,,
121,08/21/17 17:46:00,,,,,42.441,,,,,0.5415,,,,,,,,,,,,,,,,,,,,,,,,
122,08/21/17 17:47:00,,,,,42.175,,,,,0.5415,,,,,,,,,,,,,,,,,,,,,,,,
123,08/21/17 17:48:00,,,,,41.942,,,,,0.5411,,,,,,,,,,,,,,,,,,,,,,,,
124,08/21/17 17:49:00,,,,,41.670,,,,,0.5408,,,,,,,,,,,,,,,,,,,,,,,,
125,08/21/17 17:50:00,,,,,41.497,,,,,0.5407,4.418,,,,,,,,,,,,,,,,,,,,,,,
126,08/21/17 17:51:00,,,,,41.622,,,,,0.5399,,,,,,,,,,,,,,,,,,,,,,,,
127,08/21/17 17:52:00,,,,,41.285,,,,,0.5396,,,,,,,,,,,,,,,,,,,,,,,,
128,08/21/17 17:53:00,,,,,41.258,,,,,0.5391,,,,,,,,,,,,,,,,,,,,,,,,
129,08/21/17 17:54:00,,,,,41.410,,,,,0.5383,,,,,,,,,,,,,,,,,,,,,,,,
130,08/21/17 17:55:00,,,,,41.009,,,,,0.5379,4.411,,,,,,,,,,,,,,,,,,,,,,,
131,08/21/17 17:56:00,,,,,41.453,,,,,0.5371,,,,,,,,,,,,,,,,,,,,,,,,
132,08/21/17 17:57:00,,,,,40.981,,,,,0.5364,,,,,,,,,,,,,,,,,,,,,,,,
133,08/21/17 17:58:00,,,,,41.220,,,,,0.5355,,,,,,,,,,,,,,,,,,,,,,,,
134,08/21/17 17:59:00,,,,,41.372,,,,,0.5344,,,,,,,,,,,,,,,,,,,,,,,,
135,08/21/17 18:00:00,,,,,41.345,,,,,0.5338,4.406,,,,,,,,,,,,,,,,,,,,,,,
136,08/21/17 18:01:00,,,,,40.764,,,,,0.5332,,,,,,,,,,,,,,,,,,,,,,,,
137,08/21/17 18:02:00,,,,,40.640,,,,,0.5325,,,,,,,,,,,,,,,,,,,,,,,,
138,08/21/17 18:03:00,,,,,40.949,,,,,0.5316,,,,,,,,,,,,,,,,,,,,,,,,
139,08/21/17 18:04:00,,,,,41.204,,,,,0.5303,,,,,,,,,,,,,,,,,,,,,,,,
140,08/21/17 18:05:00,,,,,39.967,,,,,0.5292,4.403,,,,,,,,,,,,,,,,,,,,,,,
141,08/21/17 18:06:00,,,,,41.117,,,,,0.5283,,,,,,,,,,,,,,,,,,,,,,,,
142,08/21/17 18:07:00,,,,,40.786,,,,,0.5275,,,,,,,,,,,,,,,,,,,,,,,,
143,08/21/17 18:08:00,,,,,40.775,,,,,0.5266,,,,,,,,,,,,,,,,,,,,,,,,
144,08/21/17 18:09:00,,,,,40.786,,,,,0.5256,,,,,,,,,,,,,,,,,,,,,,,,
145,08/21/17 18:10:00,,,,,40.819,,,,,0.5247,4.402,,,,,,,,,,,,,,,,,,,,,,,
146,08/21/17 18:11:00,,,,,40.813,,,,,0.5239,,,,,,,,,,,,,,,,,,,,,,,,
147,08/21/17 18:12:00,,,,,40.678,,,,,0.5231,,,,,,,,,,,,,,,,,,,,,,,,
148,08/21/17 18:13:00,,,,,40.743,,,,,0.5224,,,,,,,,,,,,,,,,,,,,,,,,
149,08/21/17 18:14:00,,,,,40.520,,,,,0.5214,,,,,,,,,,,,,,,,,,,,,,,,
150,08/21/17 18:15:00,,,,,40.602,,,,,0.5205,4.400,,,,,,,,,,,,,,,,,,,,,,,
151,08/21/17 18:16:00,,,,,40.667,,,,,0.5195,,,,,,,,,,,,,,,,,,,,,,,,
152,08/21/17 18:17:00,,,,,40.596,,,,,0.5186,,,,,,,,,,,,,,,,,,,,,,,,
153,08/21/17 18:18:00,,,,,40.569,,,,,0.5178,,,,,,,,,,,,,,,,,,,,,,,,
154,08/21/17 18:19:00,,,,,40.276,,,,,0.5170,,,,,,,,,,,,,,,,,,,,,,,,
155,08/21/17 18:20:00,,,,,40.298,,,,,0.5162,4.398,,,,,,,,,,,,,,,,,,,,,,,
156,08/21/17 18:21:00,,,,,40.189,,,,,0.5153,,,,,,,,,,,,,,,,,,,,,,,,
157,08/21/17 18:22:00,,,,,39.077,,,,,0.5144,,,,,,,,,,,,,,,,,,,,,,,,
158,08/21/17 18:23:00,,,,,39.994,,,,,0.5134,,,,,,,,,,,,,,,,,,,,,,,,
159,08/21/17 18:24:00,,,,,39.994,,,,,0.5126,,,,,,,,,,,,,,,,,,,,,,,,
160,08/21/17 18:25:00,,,,,39.989,,,,,0.5116,4.426,,,,,,,,,,,,,,,,,,,,,,,
161,08/21/17 18:26:00,,,,,39.978,,,,,0.5105,,,,,,,,,,,,,,,,,,,,,,,,
162,08/21/17 18:27:00,,,,,39.761,,,,,0.5094,,,,,,,,,,,,,,,,,,,,,,,,
163,08/21/17 18:28:00,,,,,39.999,,,,,0.5084,,,,,,,,,,,,,,,,,,,,,,,,
164,08/21/17 18:29:00,,,,,39.913,,,,,0.5073,,,,,,,,,,,,,,,,,,,,,,,,
165,08/21/17 18:30:00,,,,,39.799,,,,,0.5062,4.463,,,,,,,,,,,,,,,,,,,,,,,
166,08/21/17 18:31:00,,,,,39.495,,,,,0.5051,,,,,,,,,,,,,,,,,,,,,,,,
167,08/21/17 18:32:00,,,,,39.484,,,,,0.5040,,,,,,,,,,,,,,,,,,,,,,,,
168,08/21/17 18:33:00,,,,,39.772,,,,,0.5029,,,,,,,,,,,,,,,,,,,,,,,,
169,08/21/17 18:34:00,,,,,38.198,,,,,0.5020,,,,,,,,,,,,,,,,,,,,,,,,
170,08/21/17 18:35:00,,,,,39.517,,,,,0.5012,4.459,,,,,,,,,,,,,,,,,,,,,,,
171,08/21/17 18:36:00,,,,,39.576,,,,,0.5006,,,,,,,,,,,,,,,,,,,,,,,,
172,08/21/17 18:37:00,,,,,39.571,,,,,0.5001,,,,,,,,,,,,,,,,,,,,,,,,
173,08/21/17 18:38:00,,,,,39.544,,,,,0.4997,,,,,,,,,,,,,,,,,,,,,,,,
174,08/21/17 18:39:00,,,,,39.424,,,,,0.4990,,,,,,,,,,,,,,,,,,,,,,,,
175,08/21/17 18:40:00,,,,,39.527,,,,,0.4984,4.426,,,,,,,,,,,,,,,,,,,,,,,
176,08/21/17 18:41:00,,,,,39.538,,,,,0.4978,,,,,,,,,,,,,,,,,,,,,,,,
177,08/21/17 18:42:00,,,,,39.343,,,,,0.4970,,,,,,,,,,,,,,,,,,,,,,,,
178,08/21/17 18:43:00,,,,,39.272,,,,,0.4962,,,,,,,,,,,,,,,,,,,,,,,,
179,08/21/17 18:44:00,,,,,39.262,,,,,0.4956,,,,,,,,,,,,,,,,,,,,,,,,
180,08/21/17 18:45:00,,,,,39.305,,,,,0.4951,4.417,,,,,,,,,,,,,,,,,,,,,,,
181,08/21/17 18:46:00,,,,,39.137,,,,,0.4943,,,,,,,,,,,,,,,,,,,,,,,,
182,08/21/17 18:47:00,,,,,38.882,,,,,0.4935,,,,,,,,,,,,,,,,,,,,,,,,
183,08/21/17 18:48:00,,,,,39.055,,,,,0.4926,,,,,,,,,,,,,,,,,,,,,,,,
184,08/21/17 18:49:00,,,,,38.860,,,,,0.4915,,,,,,,,,,,,,,,,,,,,,,,,
185,08/21/17 18:50:00,,,,,38.806,,,,,0.4904,4.409,,,,,,,,,,,,,,,,,,,,,,,
186,08/21/17 18:51:00,,,,,38.779,,,,,0.4893,,,,,,,,,,,,,,,,,,,,,,,,
187,08/21/17 18:52:00,,,,,38.708,,,,,0.4882,,,,,,,,,,,,,,,,,,,,,,,,
188,08/21/17 18:53:00,,,,,38.670,,,,,0.4868,,,,,,,,,,,,,,,,,,,,,,,,
189,08/21/17 18:54:00,,,,,38.323,,,,,0.4854,,,,,,,,,,,,,,,,,,,,,,,,
190,08/21/17 18:55:00,,,,,37.883,,,,,0.4810,4.406,,,,,,,,,,,,,,,,,,,,,,,
191,08/21/17 18:56:00,,,,,38.100,,,,,0.4796,,,,,,,,,,,,,,,,,,,,,,,,
192,08/21/17 18:57:00,,,,,38.068,,,,,0.4784,,,,,,,,,,,,,,,,,,,,,,,,
193,08/21/17 18:58:00,,,,,36.625,,,,,0.4766,,,,,,,,,,,,,,,,,,,,,,,,
194,08/21/17 18:59:00,,,,,37.748,,,,,0.4751,,,,,,,,,,,,,,,,,,,,,,,,
195,08/21/17 19:00:00,,,,,37.390,,,,,0.4733,4.403,,,,,,,,,,,,,,,,,,,,,,,
196,08/21/17 19:01:00,,,,,37.194,,,,,0.4716,,,,,,,,,,,,,,,,,,,,,,,,
197,08/21/17 19:02:00,,,,,37.259,,,,,0.4694,,,,,,,,,,,,,,,,,,,,,,,,
198,08/21/17 19:03:00,,,,,37.292,,,,,0.4671,,,,,,,,,,,,,,,,,,,,,,,,
199,08/21/17 19:04:00,,,,,37.211,,,,,0.4646,,,,,,,,,,,,,,,,,,,,,,,,
200,08/21/17 19:05:00,,,,,37.070,,,,,0.4618,4.402,,,,,,,,,,,,,,,,,,,,,,,
201,08/21/17 19:06:00,,,,,36.977,,,,,0.4586,,,,,,,,,,,,,,,,,,,,,,,,
202,08/21/17 19:07:00,,,,,37.075,,,,,0.4552,,,,,,,,,,,,,,,,,,,,,,,,
203,08/21/17 19:08:00,,,,,36.793,,,,,0.4519,,,,,,,,,,,,,,,,,,,,,,,,
204,08/21/17 19:09:00,,,,,36.831,,,,,0.4486,,,,,,,,,,,,,,,,,,,,,,,,
205,08/21/17 19:10:00,,,,,36.836,,,,,0.4453,4.400,,,,,,,,,,,,,,,,,,,,,,,
206,08/21/17 19:11:00,,,,,36.527,,,,,0.4422,,,,,,,,,,,,,,,,,,,,,,,,
207,08/21/17 19:12:00,,,,,36.511,,,,,0.4384,,,,,,,,,,,,,,,,,,,,,,,,
208,08/21/17 19:13:00,,,,,36.598,,,,,0.4342,,,,,,,,,,,,,,,,,,,,,,,,
209,08/21/17 19:14:00,,,,,35.529,,,,,0.4295,,,,,,,,,,,,,,,,,,,,,,,,
210,08/21/17 19:15:00,,,,,35.252,,,,,0.4246,4.398,,,,,,,,,,,,,,,,,,,,,,,
211,08/21/17 19:16:00,,,,,36.549,,,,,0.4192,,,,,,,,,,,,,,,,,,,,,,,,
212,08/21/17 19:17:00,,,,,36.375,,,,,0.4134,,,,,,,,,,,,,,,,,,,,,,,,
213,08/21/17 19:18:00,,,,,36.419,,,,,0.4074,,,,,,,,,,,,,,,,,,,,,,,,
214,08/21/17 19:19:00,,,,,35.995,,,,,0.4015,,,,,,,,,,,,,,,,,,,,,,,,
215,08/21/17 19:20:00,,,,,34.780,,,,,0.3949,4.398,,,,,,,,,,,,,,,,,,,,,,,
216,08/21/17 19:21:00,,,,,36.060,,,,,0.3879,,,,,,,,,,,,,,,,,,,,,,,,
217,08/21/17 19:22:00,,,,,36.022,,,,,0.3800,,,,,,,,,,,,,,,,,,,,,,,,
218,08/21/17 19:23:00,,,,,35.719,,,,,0.3716,,,,,,,,,,,,,,,,,,,,,,,,
219,08/21/17 19:24:00,,,,,35.719,,,,,0.3623,,,,,,,,,,,,,,,,,,,,,,,,
220,08/21/17 19:25:00,,,,,35.816,,,,,0.3522,4.397,,,,,,,,,,,,,,,,,,,,,,,
